"ticker","status","market_cap","breakout_flag","image_path","expired_date","asset_type","candle_size","company_name"
"BND","SUCCESS","315.046821888",2,"BND_1d_min_support_bearish_latest_min_support_bearish.png","2024-02-22","ETF","1d","Vanguard Total Bond Market Index Fund"
"ADBE","SUCCESS","276.4206056839025",1,"ADBE_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Adobe Inc"
"KO","SUCCESS","258.6698627029954",2,"KO_1d_min_support_bearish_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Coca-Cola Co"
"CMCSA","SUCCESS","176.49973745450592",1,"CMCSA_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Comcast Corp"
"BABA","SUCCESS","173.35715004002563",1,"BABA_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Alibaba Group Holding Ltd"
"NKE","SUCCESS","154.21958932073647",1,"NKE_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Nike Inc"
"BX","SUCCESS","144.03130073048357",1,"BX_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Blackstone Inc"
"SPGI","SUCCESS","140.00975654864794",1,"SPGI_1d_min_support_bearish.png","2024-02-22","STOCK","1d","S&P Global Inc"
"UPS","SUCCESS","133.65860944773544",1,"UPS_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","United Parcel Service Inc"
"LOW","SUCCESS","126.53052281851225",2,"LOW_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Lowe's Companies Inc"
"BKNG","SUCCESS","126.17956472761742",1,"BKNG_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Booking Holdings Inc"
"ELV","SUCCESS","109.16436150126258",2,"ELV_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Elevance Health Inc"
"GILD","SUCCESS","108.76699676298506",1,"GILD_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Gilead Sciences Inc"
